query_id,query_text,doc_id,business_name,stars,sentiment,review_text,source_systems,label,notes
Q001,slow service rude waiter,0KROVAMrQOG_cF-YqUQyfQ,"The Ritz-Carlton, New Orleans",3.0,neutral,"The first impression was poor....  the staff was not rude by any means, how ever they were not the five star service I expected. Our waiter was very informative & pleasant though!",bm25,,
Q001,slow service rude waiter,HUBdJwst45yDcoBYMYA_vw,Hooters,2.0,negative,"Went there for the manny-mayweather fight. The tv's where plentiful. The wings where hot and good. The bad: waitress service was slow and rude, drinks where all messed up from the beginning, bathrooms where a mess. Should of went to the tilted kilt for better looking women.",bm25,,
Q001,slow service rude waiter,Scq2m1TsR1OTwg9MBnL0-g,Colleen's,1.0,negative,"Wow terrible service. Rude staff dead flies everywhere. No one cleans counter. Standing water at water stand.
Stay away!!!!",tfidf,,
Q001,slow service rude waiter,ToNx1XZMe5LaSjq3D2x0NA,Middle Grounds Grill,2.0,negative,"Worst was recommended by a waiter at The Don Cezar Hotel service was rude at best the waiter could careless the bartender didn't know how to make a Cosmo and the food was pretty average.
I wouldn't recommend it.",tfidf+bm25,,
Q001,slow service rude waiter,UH376GU9J5mv6ojMK1tTBA,Surfside Taphouse,1.0,negative,"Absolutely terrible meal and ridiculously overpriced 

Waiter fail to check in the table. Literally had to find him to get water refills.  

Charges gratuity for party's of seven and didn't even notify us ahead of time.  

Also extremely slow slow slow service.",tfidf+bm25,,
Q001,slow service rude waiter,UHlkYGaW3DVAEMzB_gt27Q,Trolley's American Cafe,2.0,negative,Slow service and a bartender with a major attitude. I think her name was Melissa and she was very unfriendly and rude to us and other patrons. The steak sliders were horrible but the wings were pretty good.,tfidf+bm25,,
Q001,slow service rude waiter,VUA_f21czScuKS0iNe_-Fg,DiVello's Deli Of Cherry Hill,1.0,negative,After ordering for many years we are done. Very pricey for bad food. This place has gone down hill. Horrible service. Rude owner. I will never go there again!!! The person who took order could was incredibly rude. Phil's is welcoming and the food is so much better!!!,tfidf,,
Q001,slow service rude waiter,V_BPpxjNwALqzug3GpqUuw,Applebee's Grill + Bar,1.0,negative,This is the worst Applebee's of all time. Everyone who works there is slow and incredibly rude. It takes them forever to do anything because the employees are all lazy. The restaurant is frequently dirty. No.,bm25,,
Q001,slow service rude waiter,Z3SJqt1aKyg2DduD9RasQA,Meze 119,1.0,negative,Terribly rude waiter threw the checkbook on the table after adding a tip to our bill. We were four people. Overpriced food and VERY small portions. I would not recommend eating here.,bm25,,
Q001,slow service rude waiter,ZKt0Ukzy_GUXLEwUXWnaog,Franky & Johnny's,2.0,negative,"Mediocre food, very slow service and higher prices. At least for takeout anyway.",tfidf,,
Q001,slow service rude waiter,_UlU4bG2Qr0ha72-tHd55A,Joe's Crab Shack,1.0,negative,Poor customer service. A waiter spilled butter on my wife and the managers were reluctant to admit it was a mistake and apologize. Wait staff was slow and not very observant. Worst service I have ever had at a restaurant.,bm25,,
Q001,slow service rude waiter,aPmmtdlkp2GjxGWYkRMBVw,Burger King,1.0,negative,Manager Candice Robinson.  Terribly slow.  Rude staff.  Avoid this location if possible.,bm25,,
Q001,slow service rude waiter,gCosc4M7Iipzl3NV9Z9gWQ,NOLA Poboys,4.0,positive,"The food is good, but the lady behind the counter was rude and patronizing. They charged an extra 2$ for oysters and I didn't realize it. When I went back to ask about what I spent my money on the white chick was rude and condescending. However, the other people were genuinely sweet. I would recommend this place but the one employee needs some education in customer service. Rude.",tfidf,,
Q001,slow service rude waiter,hd8H49bVFIrKCl9xVgZC-g,BJ's Restaurant & Brewhouse,2.0,negative,"Extremely slow service... Even on a slow night! Took forever for our appetizers to come out, and our entrees, oh and desert as well!",tfidf,,
Q001,slow service rude waiter,lJ_VPYmZyOfVYJ4r7D8wkw,The 404 Kitchen,3.0,neutral,"Service was slow. Staff was non attentive. Almost at a snobby level. We ordered appetizers, waiter forgot. We are party of 2, tables with more people revived more attention.",bm25,,
