query_id,aspect,query_text,doc_id,business_name,stars,review_snippet,source_systems,label,notes
Q001,food,best pizza in town,dHyvKYCUSoSxzot9WAAjSA,La Vita Pizzeria,5.0,HANDS DOWN BEST PIZZA SHOP IN AND AROUND TOWN.  i love this pizza shop has been around for awhile owner and staff are all friendly. the pizza is amazing and pastas dinners are always on point.,bm25+hybrid+tfidf,,
Q001,food,best pizza in town,iA3puSHA8RaE4LOXCPkylg,Papa G's,5.0,"Man oh Man, If you like Pizza or Calzones, THIS IS THE Best place in town. My friend introduced this place to me while I was at work and came back with a calzone. I am from New Jersey and absolutely love pizza, calzones, strombolies and on the east coast they are the Best. Until now!!!! I have been ",bm25+hybrid,,
Q001,food,best pizza in town,WKzDNjj9IIfyIjwV_EQDog,Taffy's Pizza,5.0,"Best pizza and service in town!

I would highly recommend Taffy's for pizza- they have the most delicious pizzas, pesto breadsticks, and IPAs, and their management team is so awesome!  They also have a great back patio for events or for hanging out in the summer!!",bm25+hybrid,,
Q001,food,best pizza in town,95szp6QJKmGtyh_nwn-pCw,Mario's Pizza,4.0,"Closest pizza to Brooklyn, New York! You can buy by the slice for around $2.50. I recommend asking for it well done to get that crispy crust. If I had to compare it to Brooklyn's Pizza off of 4th Avenue in Tucson: I'd say Mario's is better! 
It isn't in the best part of town, but the best food is in",bm25+hybrid,,
Q001,food,best pizza in town,LdO1uMkRkABK0iJSFUab9Q,Mellow Mushroom - Clearwater,5.0,Totally love Mellow Mushroom in Clearwater. The tortilla soup is vegetarian and to die for. They have great salad choices. Fun appetizers and of course the pizza is great! Chad and Khrissy are two of the best bartenders in town,bm25+hybrid,,
Q001,food,best pizza in town,vjBTM0S8a0vf5D9uU-IacA,Ciconte's Italia Pizza,4.0,Ciconte's greatly exceeded my expectations.  Their mild buffalo wings are uniquely sauced and are the best in town.  Very meaty and large.  They make great pizza and the tomato pie is highly recommended.,bm25+hybrid,,
Q001,food,best pizza in town,uQ11JnCiIAZA9qETXKWWuQ,Pizanos Pizza,5.0,Not going to write much because I am slipping into a  heavenly food coma. OMG! THIS IS THE BEST PIZZA I HAVE EVER EATEN! My husband and I are in town and wanted pizza. The reviews and pictures sold us. Cherry on top the late night delivery.. SAY WHAT.. amazing pizza. Ever time I visit I plan to orde,bm25+hybrid,,
Q001,food,best pizza in town,jk6v6LXLf7y-i7CXH0QTjg,Sa-Wad-Dee Thai Restaurant,5.0,Easily the Best Thai restaurant in town if not one of the best restaurants in town. The guy replying with the bad comment I don't personally believe has ever eaten there or has no taste in food. This food is generally authentic and VERY fresh and VERY good. There is no better value for great food in,bm25+hybrid,,
Q001,food,best pizza in town,slLCpr5pu3Y4GulOIYnWaw,Slice Pizzeria & Wing House,4.0,"I was looking for pizza, and saw the reviews for SLICE.  I have to say it's the best I've had in Tampa.  Being from Chicago, having worked in pizza joints as a kid, I have an appreciation for the pie.  This is flavorful, tasty pizza.  Crust is soft, as probably an indication of the belt-fed style ov",bm25,,
Q001,food,best pizza in town,cImV-7puDFrzd8VBI-kKsA,Grimaldi's Pizzeria,5.0,"Me and the fiancee stop here for pizza on occasion. The pizza is very good, our favorite in town (Pesto, ricotta, pepperoni, Italian sausage). Wine selection is also very good. Staff service is excellent and I've never had pause or complaint. The Cannolis are our favorite in town. Location is excell",bm25+hybrid,,
Q001,food,best pizza in town,8QZTsT6zoDTZrykB7iUJuQ,Uno Pizzeria & Grill,5.0,Best pizza and apps in town. This is our go too for lots of things. For a chain restaurant this one is above and beyond the best in our area.. everything added to the menus recently is great. During covid they remained open doing curbside which is so good and kind of the staff. The food is always re,hybrid,,
Q001,food,best pizza in town,wfqbwjjM716WRjpNmnspYA,Marco's Pizza,5.0,This is by far my favorite pizza in town. Tasty toppings and the different crust options and flavors are great. The cheesy bread is also very good.,tfidf,,
Q001,food,best pizza in town,Y3z49lSlI3E8rrBZE5IJhg,Little Italy Pizza,5.0,"Simply the best pizza in town.  Moist crust with fresh toppings, this place never fails to deliver.  And speaking of delivery, it's fast and easy.  White pizza with broccoli, spinach and garlic is sensational, as are the sauce pizza too.  Mega Fries may send your cholesterol soaring, but worth every",tfidf,,
Q001,food,best pizza in town,YureIIHTIU17kFmYwU1MrQ,Chicago Connection - Eagle,4.0,"This is the best pizza in the valley, and compared to other pizza we have had, there's just no going back.",tfidf,,
Q001,food,best pizza in town,bUyvRNa3WYtPq9lRTKDh4Q,MAFIAoZA'S Franklin,5.0,Best Pizza in Franklin. The service is always outstanding. We're usually here once a week with our toddler and everyone is so nice.,tfidf,,
